Symbol,GICS Sector,Headquarters Location,Founded
LIN,Materials,"Guildford, United Kingdom",1879
LYV,Communication Services,"Beverly Hills, California",2010
LKQ,Consumer Discretionary,"Chicago, Illinois",1998
LMT,Industrials,"Bethesda, Maryland",1995
L,Financials,"New York City, New York",1959
LOW,Consumer Discretionary,"Mooresville, North Carolina",1904/1946/1959
LUMN,Communication Services,"Monroe, Louisiana",1983 (1877)
LYB,Materials,"Rotterdam, Netherlands",2007
MTB,Financials,"Buffalo, New York",1856
MRO,Energy,"Houston, Texas",1887
MPC,Energy,"Findlay, Ohio",2009 (1887)
MKTX,Financials,"New York City, New York",2000
MAR,Consumer Discretionary,"Bethesda, Maryland",1927
MMC,Financials,"New York City, New York",1905
MLM,Materials,"Raleigh, North Carolina",1993
MAS,Industrials,"Livonia, Michigan",1929
MA,Information Technology,"Harrison, New York",1966
MKC,Consumer Staples,"Hunt Valley, Maryland",1889
MCD,Consumer Discretionary,"Chicago, Illinois",1940
MCK,Health Care,"Irving, Texas",1833
MDT,Health Care,"Dublin, Ireland",1949
MRK,Health Care,"Kenilworth, New Jersey",1891
META,Communication Services,"Menlo Park, California",2004
MET,Financials,"New York City, New York",1868
MTD,Health Care,"Columbus, Ohio",1945
MGM,Consumer Discretionary,"Paradise, Nevada",1986
MCHP,Information Technology,"Chandler, Arizona",1989
MU,Information Technology,"Boise, Idaho",1978
MSFT,Information Technology,"Redmond, Washington",1975
MAA,Real Estate,"Memphis, Tennessee",1977
MRNA,Health Care,"Cambridge, Massachusetts",2010
MHK,Consumer Discretionary,"Calhoun, Georgia",1878
MOH,Health Care,"Long Beach, California",1980
TAP,Consumer Staples,"Chicago, Illinois","2005 (Molson 1786, Coors 1873)"
MDLZ,Consumer Staples,"Chicago, Illinois",2012
MPWR,Information Technology,"Kirkland, Washington",1997
MNST,Consumer Staples,"Corona, California",2012 (1935)
MCO,Financials,"New York City, New York",1909
MS,Financials,"New York City, New York",1935
MOS,Materials,"Tampa, Florida",2004 (1865 / 1909)
MSI,Information Technology,"Chicago, Illinois",1928 (2011)
MSI,Information Technology,"Chicago, Illinois",1928 (2011)
MSCI,Financials,"New York City, New York",1969
NDAQ,Financials,"New York City, New York",1971
NTAP,Information Technology,"Sunnyvale, California",1992
NFLX,Communication Services,"Los Gatos, California",1997
NWL,Consumer Discretionary,"Atlanta, Georgia",1903
NEM,Materials,"Denver, Colorado",1921
NWSA,Communication Services,"New York City, New York",2013 (1980)
NWSA,Communication Services,"New York City, New York",2013 (1980)
NWS,Communication Services,"New York City, New York",2013 (1980)
NWS,Communication Services,"New York City, New York",2013 (1980)
NEE,Utilities,"Juno Beach, Florida",1984 (1925)
NLSN,Industrials,"New York City, New York",1923
NKE,Consumer Discretionary,"Washington County, Oregon",1964
NI,Utilities,"Merrillville, Indiana",1912
NDSN,Industrials,"Westlake, Ohio",1935
NSC,Industrials,"Norfolk, Virginia",1881/1894 (1980)
